신장,체중
165,70
160,50
150,60
155,70
165,60
175,95
170,80
160,60
175,70
160,55
160,40
175,65
150,40
185,90
170,50
155,60
160,40
150,55
160,65
165,90
170,70
165,50
165,70
165,55
160,45
165,65
150,60
170,70
170,75
160,65
155,60
170,65
165,65
170,75
155,75
180,90
165,70
155,60
155,55
165,65
155,50
160,55
155,50
170,75
175,65
160,60
150,55
175,75
145,55
155,45
160,70
150,50
160,45
165,60
160,70
145,60
170,90
155,40
160,45
155,60
175,75
160,45
150,45
160,45
160,70
170,85
150,55
175,75
155,50
155,50
145,50
170,70
165,60
165,50
145,45
155,50
165,70
155,45
175,70
155,50
155,50
150,50
170,65
165,55
155,50
180,90
160,50
150,70
155,50
160,65
170,70
175,80
175,65
150,50
150,50
150,55
150,50
165,70
175,75
170,65
145,45
155,50
170,60
160,50
165,60
160,40
155,55
185,85
180,80
175,60
160,40
155,45
160,60
160,55
165,65
150,55
170,70
165,55
145,55
165,50
165,70
170,65
155,55
155,60
165,60
155,70
165,50
170,60
155,50
165,60
175,65
155,55
160,55
165,60
170,70
155,50
170,75
155,60
165,65
145,40
155,65
185,80
170,55
170,65
150,60
165,65
175,105
150,60
145,55
175,70
170,55
170,70
155,85
170,70
170,70
150,45
160,55
165,60
160,55
160,65
170,50
175,75
170,65
170,75
155,60
155,50
160,50
155,55
180,80
170,60
165,55
170,65
170,75
165,65
170,65
155,55
170,60
155,50
155,45
170,70
165,65
165,85
145,45
150,55
160,50
150,55
165,55
145,40
175,85
160,50
165,55
180,75
170,60
170,70
170,75
185,85
165,70
170,115
150,60
165,70
170,75
150,55
170,65
185,95
155,60
165,70
150,60
150,50
165,50
165,70
170,85
165,65
175,80
165,60
155,50
170,65
165,80
165,65
175,65
155,80
170,60
145,45
165,45
150,55
165,65
150,50
155,50
170,75
165,65
165,55
160,60
150,45
180,80
175,75
170,50
180,85
170,75
150,40
155,60
160,75
165,65
155,50
160,65
170,70
145,45
165,65
170,55
165,75
160,60
165,70
155,55
160,60
150,55
185,80
165,65
155,55
170,65
145,50
150,50
155,65
165,65
140,55
170,95
155,60
155,60
150,50
165,65
180,70
150,55
